State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.09320	1.09224	1.09006	1.09272	1.09950	1.10434	1.10942	1.10796	1.10772	1.10748	1.10167	1.09829	1.09103	1.08570	1.08425	1.08062	1.08232	1.07748	1.07433	1.07022	1.06562
2	0.52251	0.52220	0.52363	0.52209	0.52140	0.52045	0.52077	0.52326	0.52447	0.52877	0.53619	0.54080	0.54890	0.55526	0.56146	0.56851	0.57503	0.58430	0.59362	0.60316	0.61312
3	1.02492	1.01409	1.00759	1.01626	1.01626	1.02492	1.02709	1.00326	1.00542	0.95775	0.91008	0.93392	0.95125	0.96859	0.96208	0.95992	0.95992	0.99242	0.98809	0.99892	1.01409
4	4.52527	4.58557	4.63558	4.69663	4.68412	4.65691	4.60396	4.55910	4.53188	4.44069	4.28036	4.14651	3.99059	3.80452	3.61845	3.44709	3.28896	3.12863	2.98228	2.83813	2.74252
5	2.03557	2.00653	2.00215	1.99174	2.00599	2.02078	2.04378	2.05310	2.06953	2.15827	2.28974	2.35492	2.44312	2.54008	2.64799	2.71646	2.75809	2.79480	2.81945	2.83971	2.81506
6	2.82823	2.86215	2.78648	2.69777	2.76039	2.84649	2.84910	2.86215	2.78648	2.65342	2.55428	2.48644	2.38469	2.29337	2.20727	2.16813	2.12639	2.10030	2.03246	1.94115	1.88375
7	0.42564	0.38694	0.39468	0.41016	0.37921	0.35289	0.35135	0.33896	0.33896	0.34980	0.35754	0.36528	0.39468	0.41171	0.44576	0.42100	0.43028	0.44266	0.46279	0.49374	0.49684
8	3.21093	3.21463	3.25162	3.22573	3.24792	3.25162	3.29231	3.31081	3.25162	3.13325	2.92979	2.84471	2.68564	2.54507	2.41190	2.36381	2.39340	2.42669	2.43409	2.49698	2.45259
9	1.48135	1.47574	1.44203	1.49072	1.50383	1.53005	1.53379	1.60496	1.66863	1.66676	1.60870	1.65177	1.62181	1.65927	1.59934	1.66301	1.69298	1.70234	1.70234	1.66114	1.71732
10	3.69856	3.69856	3.54310	3.38040	3.23217	3.13456	3.09479	3.00079	2.98271	2.91402	2.92486	2.92486	2.92125	2.96463	3.06225	3.06586	3.04779	2.93571	2.95017	2.98994	2.99355
