State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.30855	1.29339	1.27438	1.25132	1.22376	1.17678	1.12937	1.08409	1.05419	1.04202	1.03240	1.03497	1.04479	1.06551	1.09071	1.10993	1.13748	1.15307	1.17016	1.18425	1.19493
2	0.72096	0.70403	0.67620	0.63738	0.59028	0.53706	0.48832	0.45858	0.44104	0.43463	0.43038	0.42897	0.43267	0.43622	0.44179	0.44983	0.45900	0.46910	0.47953	0.48963	0.49431
3	0.77459	0.82049	0.86066	0.85492	0.85301	0.88743	0.89317	0.90656	0.95246	0.94290	0.95820	0.97924	0.98306	0.94099	0.86831	0.83580	0.78033	0.73825	0.70000	0.64836	0.63115
4	0.57580	0.54139	0.49790	0.48492	0.46544	0.44791	0.42649	0.42065	0.42390	0.43233	0.45051	0.46998	0.48102	0.49725	0.49920	0.51672	0.51932	0.51997	0.55113	0.58943	0.65045
5	1.18796	1.12027	1.04243	0.95008	0.86112	0.77070	0.70640	0.66481	0.64354	0.62807	0.60824	0.59954	0.61937	0.63532	0.66626	0.69092	0.74411	0.82002	0.92784	1.06274	1.18845
6	0.83365	0.73462	0.72311	0.65863	0.60566	0.61717	0.63790	0.63099	0.67475	0.71850	0.78529	0.82443	0.83365	0.83134	0.79680	0.77607	0.80831	0.87049	0.97412	1.12151	1.39785
7	0.88799	0.74865	0.65165	0.58471	0.56422	0.50138	0.46176	0.44810	0.41531	0.39072	0.36066	0.34290	0.35110	0.34563	0.35930	0.36476	0.40438	0.52187	0.69810	0.99729	1.35112
8	8.88439	9.16193	8.96602	8.19872	6.89594	5.00543	3.15084	2.18763	1.76970	1.57052	1.63909	1.77296	2.12559	3.50347	7.65018	14.65713	21.30492	25.19041	26.92745	27.09071	26.10138
9	3.43491	4.01015	4.81020	5.58876	6.11276	6.25161	5.58711	3.93742	2.54395	2.48940	2.34229	1.72737	1.67448	1.80341	2.02161	2.50097	3.05638	3.47459	3.43657	3.16382	2.90430
10	4.73564	5.73766	7.47044	10.63924	15.33339	22.00286	29.71583	36.87035	41.67619	42.66863	43.31324	44.34079	43.47599	41.22943	35.92258	27.13420	18.11925	11.79762	7.85019	5.42173	4.10061
