State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	14.36897	0.80381	1.02890	1.06517	1.10179	1.03244	1.23954	1.12268
2	65.61507	0.40480	0.46519	0.71690	0.53624	0.43039	0.54198	1.16033
3	1.60454	2.46447	1.03606	0.67451	0.91018	0.95823	0.81318	0.90263
4	4.72742	0.68546	5.14543	2.23491	4.27933	0.45052	0.54983	0.30166
5	6.34704	0.86704	1.91905	1.98118	2.28998	0.60826	0.86472	0.38112
6	1.33259	0.84857	3.40384	2.28035	2.55454	0.78531	0.82656	0.19856
7	2.24632	0.29202	0.27191	2.25361	0.35757	0.36067	0.58132	0.17218
8	0.93987	1.34743	2.68193	2.21720	2.92640	1.63914	8.54401	0.23256
9	1.85652	2.04191	1.32456	1.00149	1.60887	2.34236	3.45419	0.68898
10	0.96167	44.03491	6.65360	1.44405	2.92517	43.31138	21.19705	0.30194
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
