State (Emission order)	H3k27me3AlnRep1	H2azAlnRep1	H3k04me3AlnRep1	H3k04me2AlnRep1	H3k27acAlnRep1	H3k04me1AlnRep1	H3k79me2AlnRep1	H4k20me1AlnRep1	H3k36me3AlnRep1	H3k09me3AlnRep1
1	0.1914829257399303	0.004720920840042675	2.5133458455236984E-5	1.9950948535230701E-4	5.0528864982778344E-5	7.376190888016196E-4	1.2809690672775532E-5	0.015852806597236528	2.64676071909377E-5	0.0012154539360869226
2	0.004327270739120409	0.00656142441221009	2.4605432439062713E-6	2.6679036882542332E-5	3.681429695321361E-4	4.902590569309914E-4	4.891459109600282E-6	5.506184870911494E-4	1.4417489652395664E-4	0.004234224429878664
3	0.0032100334389467324	0.02011646185232265	0.016087693994034057	4.7432116017881334E-4	0.008753512573636537	0.001817050319158795	0.0032279889305009187	0.003378853395054276	0.05060448385783911	0.49099971199676234
4	7.57366865630237E-5	1.346037935780838E-4	1.0110601290204971E-4	1.682148437212648E-4	0.010643052874163584	0.0019530458870485894	0.02413007058830666	0.04983876856737187	0.7489377920563387	0.0139749938847471
5	3.882765072680731E-4	4.673049118934307E-4	2.5008298096451303E-5	1.588101462460688E-4	0.007675831444313885	0.0019250258323490704	0.01785986038099675	0.0339442271246958	0.06403386677321508	0.0010776535118244724
6	1.646498657387504E-5	2.8055470999612626E-4	0.0023170416807943486	0.024908406328567684	0.06639628717376035	0.06260740279509323	0.8318094591750975	0.5303636208884834	0.8831959886632044	0.036235736182953435
7	2.8840675910790246E-4	1.292958180681238E-4	3.923574947846991E-5	0.009486156911236648	0.01884701818561369	0.038419206523538606	0.7760070252787257	0.3697057909966805	0.0686194867283371	0.006393177402528716
8	3.6374266038622586E-4	0.005405832243338492	0.39845288185146355	0.7550988509531009	0.3888344642850863	0.9106331925979607	0.9615951794102969	0.5046049227487429	0.4037290361292396	0.004911337000632089
9	0.02233648742506901	0.1904934291182502	0.008388030539782645	0.2250064000875138	0.4354509912569774	0.8218514830293658	0.021966291869101	0.02482061889106532	0.025647467936905158	0.009086645954088965
10	0.04044033661234042	0.7561874217085766	0.958555526938453	0.9841615874649098	0.7654515063920495	0.6528172720629883	0.42520059647480085	0.07269391111286	0.007937660943511053	0.004559444748507493
