State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9822196111717747	0.015627093660481272	1.809430039784552E-4	0.0	7.019258186326214E-5	0.0	0.0	0.0	0.00173679998181359	1.653596000885456E-4
2	0.0035442768992245055	0.9898243586362575	0.0032667194989862056	0.0	5.525239195277344E-4	0.0	0.0	0.0	0.002741313524511069	7.080752149318711E-5
3	0.0016949018984403733	0.11296141081457092	0.8781798233869468	0.0014575835955552827	0.0031924684373700893	0.0	1.4993023056383313E-4	1.679781974648151E-5	0.0019811750745230105	3.6590874228329773E-4
4	0.0	1.7967382890562305E-8	6.091838997037989E-4	0.9409594778864384	0.04333544545759823	0.014214447545378551	0.0	1.7777838865859458E-4	6.961892337137941E-4	7.459621125795151E-6
5	1.7083194336643857E-4	0.0056460862967384	9.563125745191202E-4	0.03188384576497161	0.9385923472466688	0.004836656494088788	0.008958529185158584	3.917825752383811E-4	0.008413973862206152	1.4963405704365975E-4
6	0.0	0.0	0.0	0.050907338837136225	0.023473052618054022	0.8512881680763996	0.06237159286881406	0.011959847599596056	0.0	0.0
7	0.0	0.0	1.1584526882074423E-4	0.0	0.025453613123083405	0.03733200023107017	0.9150095286057174	0.021652766854947426	4.3624591636108964E-4	0.0
8	0.0	0.0	3.162108865805339E-5	0.0012086550078332383	0.002620130603270396	0.01769101292230876	0.05299279171496951	0.8746481734157698	0.012381561219476818	0.03842605402771326
9	0.013856674637518385	0.09472509825542663	0.0022399415289204266	0.0016233334147802596	0.02891503136916257	3.291580997212977E-4	5.725214457677598E-4	0.00587931814244693	0.8032531116043463	0.048605811501909485
10	0.0024474434881277822	0.004980117535886742	6.948137115956576E-4	2.3616641711823943E-5	0.0010855861437760559	0.0	0.0	0.03799275732760843	0.09080496855297145	0.8619706965983222
